ticker,groupe,pea
MMM,USA - S&P500,0
AOS,USA - S&P500,0
ABT,USA - S&P500,0
ABBV,USA - S&P500,0
ACN,USA - S&P500,0
ADBE,USA - S&P500,0
AMD,USA - S&P500,0
AES,USA - S&P500,0
AFL,USA - S&P500,0
A,USA - S&P500,0
APD,USA - S&P500,0
ABNB,USA - S&P500,0
AKAM,USA - S&P500,0
ALB,USA - S&P500,0
ARE,USA - S&P500,0
ALGN,USA - S&P500,0
ALLE,USA - S&P500,0
LNT,USA - S&P500,0
ALL,USA - S&P500,0
GOOGL,USA - S&P500,0
GOOG,USA - S&P500,0
MO,USA - S&P500,0
AMZN,USA - S&P500,0
AMCR,USA - S&P500,0
AEE,USA - S&P500,0
AAL,USA - S&P500,0
AEP,USA - S&P500,0
AXP,USA - S&P500,0
AIG,USA - S&P500,0
AMT,USA - S&P500,0
AWK,USA - S&P500,0
AMP,USA - S&P500,0
AME,USA - S&P500,0
AMGN,USA - S&P500,0
APH,USA - S&P500,0
ADI,USA - S&P500,0
ANSS,USA - S&P500,0
AON,USA - S&P500,0
APA,USA - S&P500,0
AAPL,USA - S&P500,0
AMAT,USA - S&P500,0
APTV,USA - S&P500,0
ACGL,USA - S&P500,0
ADM,USA - S&P500,0
ANET,USA - S&P500,0
AJG,USA - S&P500,0
AIZ,USA - S&P500,0
T,USA - S&P500,0
ATO,USA - S&P500,0
ADSK,USA - S&P500,0
AZO,USA - S&P500,0
AVB,USA - S&P500,0
AVY,USA - S&P500,0
AXON,USA - S&P500,0
BKR,USA - S&P500,0
BALL,USA - S&P500,0
BAC,USA - S&P500,0
BAX,USA - S&P500,0
BDX,USA - S&P500,0
BBY,USA - S&P500,0
BIO,USA - S&P500,0
TECH,USA - S&P500,0
BIIB,USA - S&P500,0
BLK,USA - S&P500,0
BX,USA - S&P500,0
BA,USA - S&P500,0
BCR,USA - S&P500,0
BMY,USA - S&P500,0
AVGO,USA - S&P500,0
BR,USA - S&P500,0
BRO,USA - S&P500,0
BF.B,USA - S&P500,0
BLDR,USA - S&P500,0
BXP,USA - S&P500,0
BSX,USA - S&P500,0
BRK.B,USA - S&P500,0
CHRW,USA - S&P500,0
CDNS,USA - S&P500,0
CZR,USA - S&P500,0
CPT,USA - S&P500,0
CPB,USA - S&P500,0
COF,USA - S&P500,0
CAH,USA - S&P500,0
KMX,USA - S&P500,0
CCL,USA - S&P500,0
CARR,USA - S&P500,0
CTLT,USA - S&P500,0
CAT,USA - S&P500,0
CBOE,USA - S&P500,0
CBRE,USA - S&P500,0
CDW,USA - S&P500,0
CE,USA - S&P500,0
COR,USA - S&P500,0
CNC,USA - S&P500,0
CNP,USA - S&P500,0
CF,USA - S&P500,0
CHTR,USA - S&P500,0
CVX,USA - S&P500,0
CMG,USA - S&P500,0
CB,USA - S&P500,0
CHD,USA - S&P500,0
CI,USA - S&P500,0
CINF,USA - S&P500,0
CTAS,USA - S&P500,0
CSCO,USA - S&P500,0
C,USA - S&P500,0
CFG,USA - S&P500,0
CLX,USA - S&P500,0
CME,USA - S&P500,0
CMS,USA - S&P500,0
KO,USA - S&P500,0
CTSH,USA - S&P500,0
CL,USA - S&P500,0
CMCSA,USA - S&P500,0
CAG,USA - S&P500,0
COP,USA - S&P500,0
ED,USA - S&P500,0
STZ,USA - S&P500,0
CEG,USA - S&P500,0
COO,USA - S&P500,0
CPRT,USA - S&P500,0
GLW,USA - S&P500,0
CPAY,USA - S&P500,0
CTVA,USA - S&P500,0
CSGP,USA - S&P500,0
COST,USA - S&P500,0
CTRA,USA - S&P500,0
CCI,USA - S&P500,0
CSX,USA - S&P500,0
CMI,USA - S&P500,0
CVS,USA - S&P500,0
DHR,USA - S&P500,0
DRI,USA - S&P500,0
DVA,USA - S&P500,0
DAY,USA - S&P500,0
DECK,USA - S&P500,0
DE,USA - S&P500,0
DAL,USA - S&P500,0
DVN,USA - S&P500,0
DXCM,USA - S&P500,0
FANG,USA - S&P500,0
DLR,USA - S&P500,0
DFS,USA - S&P500,0
DG,USA - S&P500,0
DLTR,USA - S&P500,0
D,USA - S&P500,0
DPZ,USA - S&P500,0
DOV,USA - S&P500,0
DOW,USA - S&P500,0
DHI,USA - S&P500,0
DTE,USA - S&P500,0
DUK,USA - S&P500,0
DD,USA - S&P500,0
EMN,USA - S&P500,0
ETN,USA - S&P500,0
EBAY,USA - S&P500,0
ECL,USA - S&P500,0
EIX,USA - S&P500,0
EW,USA - S&P500,0
EA,USA - S&P500,0
ELV,USA - S&P500,0
LLY,USA - S&P500,0
EMR,USA - S&P500,0
ENPH,USA - S&P500,0
ETR,USA - S&P500,0
EOG,USA - S&P500,0
EPAM,USA - S&P500,0
EQT,USA - S&P500,0
EFX,USA - S&P500,0
EQIX,USA - S&P500,0
EQR,USA - S&P500,0
ESS,USA - S&P500,0
EL,USA - S&P500,0
ETSY,USA - S&P500,0
EG,USA - S&P500,0
EVRST,USA - S&P500,0
ES,USA - S&P500,0
EXC,USA - S&P500,0
EXPE,USA - S&P500,0
EXPD,USA - S&P500,0
EXR,USA - S&P500,0
XOM,USA - S&P500,0
FFIV,USA - S&P500,0
FDS,USA - S&P500,0
FICO,USA - S&P500,0
FAST,USA - S&P500,0
FRT,USA - S&P500,0
FDX,USA - S&P500,0
FIS,USA - S&P500,0
FITB,USA - S&P500,0
FSLR,USA - S&P500,0
FE,USA - S&P500,0
FI,USA - S&P500,0
FMC,USA - S&P500,0
F,USA - S&P500,0
FTNT,USA - S&P500,0
FTV,USA - S&P500,0
FOXA,USA - S&P500,0
FOX,USA - S&P500,0
BEN,USA - S&P500,0
FCX,USA - S&P500,0
GRMN,USA - S&P500,0
IT,USA - S&P500,0
GE,USA - S&P500,0
GEHC,USA - S&P500,0
GEN,USA - S&P500,0
GNRC,USA - S&P500,0
GD,USA - S&P500,0
GIS,USA - S&P500,0
GM,USA - S&P500,0
GPC,USA - S&P500,0
GILD,USA - S&P500,0
GPN,USA - S&P500,0
GL,USA - S&P500,0
GDDY,USA - S&P500,0
GS,USA - S&P500,0
HAL,USA - S&P500,0
HIG,USA - S&P500,0
HAS,USA - S&P500,0
HCA,USA - S&P500,0
DOC,USA - S&P500,0
HSIC,USA - S&P500,0
HSY,USA - S&P500,0
HES,USA - S&P500,0
HPE,USA - S&P500,0
HLT,USA - S&P500,0
HOLX,USA - S&P500,0
HD,USA - S&P500,0
HON,USA - S&P500,0
HRL,USA - S&P500,0
HST,USA - S&P500,0
HWM,USA - S&P500,0
HPQ,USA - S&P500,0
HUBB,USA - S&P500,0
HUM,USA - S&P500,0
HBAN,USA - S&P500,0
HII,USA - S&P500,0
IBM,USA - S&P500,0
IEX,USA - S&P500,0
IDXX,USA - S&P500,0
ITW,USA - S&P500,0
INCY,USA - S&P500,0
IR,USA - S&P500,0
PODD,USA - S&P500,0
INTC,USA - S&P500,0
ICE,USA - S&P500,0
IFF,USA - S&P500,0
IP,USA - S&P500,0
IPG,USA - S&P500,0
INTU,USA - S&P500,0
ISRG,USA - S&P500,0
IVZ,USA - S&P500,0
INVH,USA - S&P500,0
IQV,USA - S&P500,0
IRM,USA - S&P500,0
JBHT,USA - S&P500,0
JBL,USA - S&P500,0
JKHY,USA - S&P500,0
J,USA - S&P500,0
JNJ,USA - S&P500,0
JCI,USA - S&P500,0
JPM,USA - S&P500,0
JNPR,USA - S&P500,0
K,USA - S&P500,0
